id,Branch_Name,T_number_1,T_number_2,M_number,F_number,Address,Location_Code,Note,request_by,Company,img,delete_status
1,Ampara,634890103,0,0773472749,0632224435,"No. 01, Regal Junction, 04th Lane, D.S.Senanayake Street, Ampara.","7.290643, 81.674969",,Nuwan Athukorala,HNBA,114388651.png,0
2,Ambalangoda,0914382559,0,0773823842,0912255268,"No.14, 01st Floor,Wickramasooriya Road,Ambalangoda.","6.238631, 80.053566",,Nuwan Athukorala,HNBA,114388651.png,0
3,Ambalantota,0474379967,0,0773470498,0472225677,"No.55/1, Sri Ananda Motors Building, Main street ,Ambalantota","6.122499, 81.022609",,Nuwan Athukorala,HNBA,114388651.png,0
4,Anuradhapura,0254928740,0254934707,0772043233,0252223494,"No.249/A, 2nd Floor,Maithripala Senanayake Mawatha,Anuradhapura","8.340856, 80.411457",,Nuwan Athukorala,HNBA,114388651.png,0
5,Avissawella,0364270775,0,077270798,0362233855,"No.151 A, Colombo Road, Avissawella.","6.953716, 80.204417",,Nuwan Athukorala,HNBA,114388651.png,0
6,Badulla,0554743793,0,0773351987,0552228966,"No.33/3/2/1, 2nd Floor,Modern Complex, Badulla","6.985342, 81.058731",,Nuwan Athukorala,HNBA,114388651.png,0
7,Bandarawela ,0574496203,0,0773823831,0572221266,"No. 348/3, Badulla Road, Bandarawela","6.829683, 80.995049",,Nuwan Athukorala,HNBA,114388651.png,0
8,Balangoda,0454928100,0,0763226500,0452287809,"No.71 A, 1st Floor,Barnes Rathwaththe Mawatha,Balangoda","6.6499, 80.69812",,Nuwan Athukorala,HNBA,114388651.png,0
9,Batticaloa,0654920220,0,0774415046,0652227767,"No.166, 2nd Floor, Bazaar Street, Batticaloa.","7.713337,81.699085",,Nuwan Athukorala,HNBA,114388651.png,0
10,Bambalapitiya,0114326913,0114335931,0,0,"No.285, 03rd Floor, Galle Road, Colombo 04","6.886532, 79.857868",,Nuwan Athukorala,HNBA,114388651.png,0
11,Chavakachcheri,0217682009,0,0773618145,0,"01st Floor, No.184, Kandy Road, Chavakachcheri","9.659552,80.164901",,Nuwan Athukorala,HNBA,114388651.png,0
12,Chilaw,0324860358,0,0777260987,0322220950,"No.98A 1/1,Colombo Road, Chilaw.","7.569753, 79.798714",,Nuwan Athukorala,HNBA,114388651.png,0
13,Col. North,0114715980,0114621595,0777726827,0112439725,"No.88, 2nd Floor, Main Street, Colombo 11.","6.93708, 79.85022",,Nuwan Athukorala,HNBA,114388651.png,0
14,Col. South,0114693200,0114693201,0773950917,0112506730,"No.166, 2nd Floor, Havelock Road, Colombo 05.","6.89142, 79.86278",,Nuwan Athukorala,HNBA,114388651.png,0
15,Customer Relations Management Center,0114384384,0,0,0,"No.131, St. Michael's Road, Koilupitiya, Colombo 03","6.9135, 79.85287",,Nuwan Athukorala,HNBA,114388651.png,0
16,Dambulla,0664743793,0,0768892870,0662283408,"No. 693, 01st Floor, Anuradapura Road, Dambulla","7.879228, 80.650160",,Nuwan Athukorala,HNBA,114388651.png,0
17,Deniyaya,0414938445,0,0774415150,0412273999,"01st Floor, Yasaro Building, Main street, Deniyaya.","6.345478, 80.559478",,Nuwan Athukorala,HNBA,114388651.png,0
18,Embilipitiya,0474379159,0,0772192007,0472261914,"Sarathchandra Building, Pallegama, Embilipititya.","6.332234, 80.855612",,Nuwan Athukorala,HNBA,114388651.png,0
19,Galle,0914384777,0,077398547,0912233877,"No. 46/1/2, Colombo Road, kaluwella, Galle","6.035155, 80.210893",,Nuwan Athukorala,HNBA,114388651.png,0
20,Gampaha,0334670598,0,0777283630,0332231588,"No. 64 1/1, Queen Mary's Road, Gampaha","7.092050, 79.999771",,Nuwan Athukorala,HNBA,114388651.png,0
21,Gampola,0814486461,0,0777726820,0812350332,"No.10, Nidahas Mawatha, Gampola.","7.162489, 80.564743",,Nuwan Athukorala,HNBA,114388651.png,0
22,Hatton,0514451000,0,0768892680,0512222763,"No. 171-1/9, 01st Floor, D.K.W Commercial Complex, Dimbula Road, hatton","6.892895, 80.597186",,Nuwan Athukorala,HNBA,114388651.png,0
23,Horana,0344947000,0,0772980122,0342260031,"No.165 1/1, 1st Floor, Rathnapura Road, Horana","6.717605,80.066493",,Nuwan Athukorala,HNBA,114388651.png,0
24,Ja - Ela,0114621851,0,0772776188,0112228705,"No.158 1/1, Old Negambo road, Ja-ela.","7.082864, 79.892231",,Nuwan Athukorala,HNBA,114388651.png,0
25,Jaffna,0212226016,0,0772242549,0212228562,"No.62/3, stanly Road, Jaffna.","9.668836, 80.012541",,Nuwan Athukorala,HNBA,114388651.png,0
26,Kadawatha,0114325072,0,0774493175,0112925772,"No.433/1, Ihalakaragahamuna, Kadawatha.","7.004562, 79.955985",,Nuwan Athukorala,HNBA,114388651.png,0
27,Kalmunai,0674921657,0,0773472964,0672222375,"No.220, Main Street, Baticaloa Road, Kalmunai.","7.418973, 81.822990",,Nuwan Athukorala,HNBA,114388651.png,0
28,Kalutara,0344280925,0,0773472549,0342228188,"No.574/1, Galle Road, Kaluthara South, Kaluthara","6.571368, 79.965062",,Nuwan Athukorala,HNBA,114388651.png,0
29,Kandy,0814481785,0814951100,0773796841,0812205457,"No.12, 3rd Floor, Heerasagala Road, Kandy.","7.278106, 80.618002",,Nuwan Athukorala,HNBA,114388651.png,0
30,Kegalle,0354743793,0,0777273687,0352230649,"No.306, 1st Floor, Main Street, Kegalle.","7.253520, 80.350422",,Nuwan Athukorala,HNBA,114388651.png,0
31,Kiribatgoda,0114602240,0,0772932346,0112910811,"No.277 2/1, 2nd Floor, Kandy Road, Dalugama, Kelaniya.","6.973520, 79.921198",,Nuwan Athukorala,HNBA,114388651.png,0
32,Killinochchi,0214923560,0,0777273691,0212283828,"1st Floor, A 9 Road, Karadipoku, Kilinochchi.","9.40686, 80.40779",,Nuwan Athukorala,HNBA,114388651.png,0
33,Kuliyapitiya,0374936588,0,0779852458,0372281818,"No.209, Hettipola Road, Kuliyapitiya.","7.473303, 80.044208",,Nuwan Athukorala,HNBA,114388651.png,0
34,Kurunegala,0374939776,0374743793,0773472855,0372231670,"3rd Floor, 55 3/1, Kings Groove Building, Rajapihilla Road, Kurunegala.","7.483755, 80.366521",,Nuwan Athukorala,HNBA,114388651.png,0
35,Maharagama,0114543793,0,0777726821,0112844115,"No.135, 2/1, High level Road, Maharagama.","6.849440, 79.923689",,Nuwan Athukorala,HNBA,114388651.png,0
36,Mahiyanganaya,0554927711,0,0763932603,0552257295,"No. 74, Ampara Road, Mahiyangana.","7.340056, 80.995294",,Nuwan Athukorala,HNBA,114388651.png,0
37,Matale,0664460907,0,0763496396,0662231288,"No.96/2/1, Kings Road, Matale.","7.470968, 80.623140",,Nuwan Athukorala,HNBA,114388651.png,0
38,Malambe,0114449990,0,077863786,0112788700,"1st Floor, No. 395/2, New Kandy Road, Malambe.","6.903413, 79.957082",,Nuwan Athukorala,HNBA,114388651.png,0
39,Matara,0414743793,0,0777767721,0412237833,"No. 234, 02nd Floor, Anagarika Dharmapala Mw, Matara.","5.949200, 80.539516",,Nuwan Athukorala,HNBA,114388651.png,0
40,Monaragala,0554743794,0,0773823846,0552277272,"No. 145 & 147, Wellawaya Rd, Monaragala.","6.87071, 81.3496",,Nuwan Athukorala,HNBA,114388651.png,0
41,Mannar,0232251179,0,0765335906,0232251301,"No. 57/6, 2nd Cross Street, Pettah, Mannar.","8.980110, 79.911186",,Nuwan Athukorala,HNBA,114388651.png,0
42,Manipay,0214920344,0,0779280368,0212255049,"Sayanga Plaza, Yarl Road, Manipay.","9.719311, 79.996665",,Nuwan Athukorala,HNBA,114388651.png,0
43,Mount Lavinia,0114542535,0,0772719629,0112716905,"No. 83 2/1, Galle Road, Mount Lavinia.","6.829858, 79.868253",,Nuwan Athukorala,HNBA,114388651.png,0
44,Mathugama,0344941397,0,0767847217,0342241241,"116/2, 2nd Floor, Agalawatte Road, Mathugama.","6.522088, 80.118054",,Nuwan Athukorala,HNBA,114388651.png,0
45,Negambo,0314743793,0314874681,077876288,0312223144,"No.96/2/1, Colombo road, Negombo.","7.212968, 79.847686",,Nuwan Athukorala,HNBA,114388651.png,0
46,Nelliady,0214920323,0,077569447,0212262400,"No. 58, 2nd Floor, Point Pedro Road, Nelliady.","9.800477, 80.202947",,Nuwan Athukorala,HNBA,114388651.png,0
47,Nittmbuwa,0334944475,0,0776976388,0332245399,"No. 39/1/1, Kandy Road, Nittambuwa","7.144896, 80.095781",,Nuwan Athukorala,HNBA,114388651.png,0
48,Nuwara Eliya,0524743793,0,0764203364,0522235991,"1st Floor, Siva Complex, Lowson street, Nuwara eliya","6.973544, 80.766629",,Nuwan Athukorala,HNBA,114388651.png,0
